"headword","pos","dialect_id","jsonb_data"
"fere","noun","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""flute; small type of whistle"", ""whistle"", ""balloon""], ""parts_of_speech"": [""noun""], ""ipa"": [""/fè.ɾè/""], ""examples"": [], ""dialect_assigned_default"": true}"
"Tunisia","name","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""Tunisia (a country in North Africa)""], ""parts_of_speech"": [""name""], ""ipa"": [""/tù.ní.sí.à/""], ""examples"": [], ""dialect_assigned_default"": true}"
"Angola","name","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""Angola (a country in Southern Africa)""], ""parts_of_speech"": [""name""], ""ipa"": [""/à.ŋ̀.ɡó.là/""], ""examples"": [], ""dialect_assigned_default"": true}"
"Burundi","name","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""Burundi (a country in East Africa)""], ""parts_of_speech"": [""name""], ""ipa"": [""/bù.ɾú.ŋ́.dì/""], ""examples"": [], ""dialect_assigned_default"": true}"
"Gambia","name","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""Gambia (a country in West Africa)"", ""River Gambia (a river in West Africa)""], ""parts_of_speech"": [""name""], ""ipa"": [""/ɡá.ŋ́.bí.à/""], ""examples"": [], ""dialect_assigned_default"": true}"
"India","name","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""India (a country in South Asia)""], ""parts_of_speech"": [""name""], ""ipa"": [], ""examples"": [], ""dialect_assigned_default"": true}"
"Kiribati","name","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""Kiribati (a country consisting mostly of the Gilbert Islands archipelago, located in Micronesia in Oceania)""], ""parts_of_speech"": [""name""], ""ipa"": [""/kī.ɾī.bá.tì/""], ""examples"": [], ""dialect_assigned_default"": true}"
"Mali","name","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""Mali (a country in West Africa)""], ""parts_of_speech"": [""name""], ""ipa"": [""/má.lì/""], ""examples"": [], ""dialect_assigned_default"": true}"
"Mongolia","name","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""Mongolia (a country in East Asia)"", ""Mongolia (a Mongolian-speaking geographic region in East Asia, including the country of Mongolia (Outer Mongolia), the autonomous region of Inner Mongolia in China, and sometimes also Buryatia, Tuva and the Altai Republic in Russia)""], ""parts_of_speech"": [""name""], ""ipa"": [""/mò.ŋ̀.ɡó.lí.à/""], ""examples"": [], ""dialect_assigned_default"": true}"
"Malawi","name","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""Malawi (a country in Southern Africa)""], ""parts_of_speech"": [""name""], ""ipa"": [""/mà.lá.wì/""], ""examples"": [], ""dialect_assigned_default"": true}"
