"headword","pos","dialect_id","jsonb_data"
"Ba ayi ma birri burrtu","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""Don't  do  huTvtu  to  a  monkey."", ""note"": ""Burrtu,  a  black  bird  with  a  large  bill.    It  stands  about 2  ft.   high,  and  is   usually  seen  on   the  ground; when  it  rises  a  white  patch  shows  on  each  wing. Hunters  put  the  skin  on  their  head  when  they stalk  game. You  don't  get  the  better  of  him  in  that  way. 11  A  buggi  karifi  da  saura'n  zafi,  en  ya  fooclii sai  a  wohalla. Strike  while  the  iron  is  hot."", ""proverb_number"": 13, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Idan rua ya zubar, ya ber tulu, ya yi keau","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""Even  if  the  water  is  spilt,  as  long  as  the  tulu  is not  broken,  no  harm."", ""note"": ""Tulu,  the  jar  used  for  carrying  water  from  the  well or  stream ;  it  has  a  small  mouth.  Different districts  have  different  patterns. Don't  cry  over  spilt  milk.     That  can  be  remedied."", ""proverb_number"": 15, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Rigaya zua fadda ba slii ne samu'n sariki","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""ba."", ""note"": ""\""First    come   to   the   council\""   does   not   always \""  catch  king.\"" First  come  is  not  always  first  served. Though  a  man  may  have  been  in  the  king's  service  a long  time,  it  does  not  follow  that  he  will  always have  the  king's  ear."", ""proverb_number"": 16, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Ba domin tsawo akanga wata ba","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""The  moon  is  not  seen  because  of  great  stature."", ""note"": ""It  is  by  no  merit  of  yours  that  you  have  done  that. Any  one  can  do  it."", ""proverb_number"": 17, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Fawa biu tana bata hankali'n kuda","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""Two  pieces  of  meat  confuse  the  mind  of  the  fly. To  hesitate  between  two  things,  two  courses,  &c."", ""note"": """", ""proverb_number"": 18, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Da kuka'n kura, da batcliewa'n akwia duka","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""daia  ne."", ""note"": ""The  cry  of  the  hyena  and  the  losing  of  the  goat are  one  and  the  same. Give  a  dog  a  bad  name."", ""proverb_number"": 19, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Gurgu ba shi koiya gurgu taffia","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""The  blind  leading  the  blind."", ""note"": """", ""proverb_number"": 20, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Rama ba mutua ba","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""Being  thin  is  not  dying. Appearances  are  deceptive."", ""note"": ""■^2  Rijia  ta  bayes,  gugaa  ta  lianna. The  well  gives,  but  the  bucket  refuses. The  great  man  orders  a  distribution  of  food,  money, &c.,  but  his  agent  does  not  issue  it. Might  be  used  when  an  official,  who  is  dependent  on an  interpreter,  gives  an  order  ;  meaning  \""  he  may give  an  order,  but  I  doubt  whether  it  will  be carried  out.\"""", ""proverb_number"": 21, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Ya zamma wandu dei dei da gatto'n kowa","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""He  is  (a  pair)  of  trousers   that   fit   every   one's thighs. He  is  so  powerful  that  every  one  fears  him."", ""note"": """", ""proverb_number"": 23, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Mai abu kan san barra","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""A  man  with  wealth  will  always  get  a  servant. San,  a  contraction  of  samu."", ""note"": """", ""proverb_number"": 24, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Mai akwia ya yi taffia derri, bale mai kura","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""If  the  owner  of  a  goat  is  not  afraid  to  travel  by"", ""note"": ""night,  why  should  the  owner  of  a  hyena be  (seeing  that  night  is  the  usual  time  for a  hyena  to  move  about)?"", ""proverb_number"": 25, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Da ayi jiranka ga abinchi, gara akayi ka","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""jira'n  abinchi."", ""note"": ""Better  that  you  should  be  made  to  wait  for  food than  that  food  should  be  made  to  wait  for you."", ""proverb_number"": 26, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"En chi dadi da yawa en wohalla, gara en","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""chi  babu  dadi  wonda  ni  ke  koshi."", ""note"": ""Better  to  eat  something  not  tasty  which  is  enough, than  to  eat  something  tasty  which  upsets me. Enough  is  as  good  as  a  feast."", ""proverb_number"": 27, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Mai tambaya ba shi bata, sai dei asheerinsa","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""ka  tonoa."", ""note"": ""He  who  asks  does  not  go  wrong,  but  his  secret  is dug  up. The  first  part  of  this  proverb  is  very  commonly  used by  itself  with  the  meaning,  \""  Always  ask  if  you are  in  doubt.\"" The  meaning,  as  it  stands,  is — before  you  ask  for  infor- mation be  quite  sure  that  it  will  not  give  away your  object,  i.e.  if  you  wish  to  conceal  it."", ""proverb_number"": 28, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
