"headword","pos","dialect_id","jsonb_data"
"-tụlùpù","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""fall down; roll down (like a baby); fall and mix""], ""examples"": [{""igbo"": ""Nwa a mūlụ ọfụū atụlùpùgo n’enu àkwà"", ""english"": ""The new-born baby has rolled off the bed""}], ""dialect_variants"": []}"
"eke ukwu","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""the larger python; African or Rock Python; (Python sebae)""], ""examples"": [], ""dialect_variants"": []}"
"okpōsi","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""simple, faceless image carved (usually from ògilìsì) to"", ""represent a dead ancestor after his final funeral rites; they are usually dumb-bell shaped, except that those for married daughters are cylindrical; all the family okpōsi are kept together and offered food or libations from time to time while the protection of the ancestors is solicited""], ""examples"": [], ""dialect_variants"": []}"
"-bù","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""be large, stout"", ""break (hard covering, shell) to get out contents (e.g. egg, ụkwà); hatch"", ""sing"", ""uproot""], ""examples"": [{""igbo"": ""Òkụkò mụ gà-abū akwa yā n’ọnwa òzọ"", ""english"": ""My hen will hatch her eggs next month""}, {""igbo"": ""Ọ nà-abù nkwū"", ""english"": ""He is uprooting a palmtree""}], ""dialect_variants"": []}"
"òmìmì","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""depth; (fig.) mystery""], ""examples"": [], ""dialect_variants"": []}"
"-tachi obì","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""bear up; endure""], ""examples"": [], ""dialect_variants"": []}"
"ọnyà igwè","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""steel trap""], ""examples"": [], ""dialect_variants"": []}"
"-bèlì","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""cut into pieces"", ""cut into small pieces""], ""examples"": [{""igbo"": ""Achò m ibēlì anụ m gà-ènye nwa nkịtā"", ""english"": ""I want to cut into small pieces the meat I intend to give to the puppy""}], ""dialect_variants"": []}"
"àlụlù","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""medicinal plant, also used for stew""], ""examples"": [], ""dialect_variants"": []}"
"-kèlụ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""take one's share""], ""examples"": [], ""dialect_variants"": []}"
"-me ntado","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""be tight (e.g. as undersized shirt, etc.)""], ""examples"": [{""igbo:"": ""Àfe à mèlù m ntado"", ""english"": ""This shirt is too tight for me""}], ""dialect_variants"": []}"
"òbùnà","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""any; every""], ""examples"": [{""igbo"": ""Nye m#ife ōbụnà"", ""english"": ""Give me anything""}, {""igbo"": ""Mmadū ōbụnà gà-anòdị ànì"", ""english"": ""Every person shall sit down""}], ""dialect_variants"": []}"
"kọtùma","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""court messenger (English)""], ""examples"": [], ""dialect_variants"": []}"
"-dè-be","ESUF","5","{""source"": ""IgboAPI"", ""definitions"": [""near(er)""], ""examples"": [], ""dialect_variants"": []}"
"-gbagha okwu","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""contradict; argue""], ""examples"": [], ""dialect_variants"": []}"
"-lụmì","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""go far with a task""], ""examples"": [{""igbo"": ""Ndù àlụmìgo ugbō yā"", ""english"": ""Ndụ has gone very far in the cultivation of his farm""}], ""dialect_variants"": []}"
"ntiwa","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""smashing; breaking; division""], ""examples"": [], ""dialect_variants"": []}"
"ofe ùtàzì","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""ùtàzì soup""], ""examples"": [], ""dialect_variants"": []}"
"-gbà-do","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""extensional suffix all; entirely (compare -gbà 3.)""], ""examples"": [], ""dialect_variants"": []}"
"ògbòmà","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""wizard; kind of male witch capable of travelling where it wishes unseen by day. Fewer in number than the ordinary witch, but capable of greater damage once offended (compare Yoruba ọsò)""], ""examples"": [], ""dialect_variants"": []}"
"-nye n’aka","unknown","5","{""source"": ""IgboAPI"", ""definitions"": [""commit; hand over to""], ""examples"": [], ""dialect_variants"": []}"
"-dị iwe","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""annoy""], ""examples"": [{""igbo"": ""Ife o mèlù dì m iwe"", ""english"": ""What he did annoys me""}], ""dialect_variants"": []}"
"-kwụsị","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""stop; stay Ọ chò ịkwụ sị motò He wants to stop the car""], ""examples"": [], ""dialect_variants"": []}"
"-bimì","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""live far in""], ""examples"": [], ""dialect_variants"": []}"
"-gha mkpụlụ osisi","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""sow seeds (broadcast)""], ""examples"": [], ""dialect_variants"": []}"
"-kpokọlụ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""gather together and carry away; collect Ekpōkọlụgo m  òlòma diCnénu tebùlù I have collected (and taken away) the oranges on the table""], ""examples"": [], ""dialect_variants"": []}"
"-gbechìgha","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""crawl back""], ""examples"": [], ""dialect_variants"": []}"
"-tụnye n’ụkwụ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""be at hand, imminent; come unexpectedly""], ""examples"": [{""igbo"": ""\""Chèghalịa nù n’ifì nà Ànì Ezè Enu igwē àtụnyego n’ụkwụ\"""", ""english"": ""Repent ye, for the Kingdom of God is at hand\""""}], ""dialect_variants"": []}"
"okpùlùkpù","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""kind of instrument""], ""examples"": [], ""dialect_variants"": []}"
"-le ùle","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""rot; be rotten; be corrupt; be lazy"", ""be rotten, lazy, corrupt""], ""examples"": [], ""dialect_variants"": []}"
"-sụ ji","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""pound yam""], ""examples"": [], ""dialect_variants"": []}"
"njùnà","unknown","5","{""source"": ""IgboAPI"", ""definitions"": [""see ejùnà""], ""examples"": [], ""dialect_variants"": []}"
"(anwū) -cha","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""beat (of sun)""], ""examples"": [], ""dialect_variants"": []}"
"-kèbe","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""betroth""], ""examples"": [{""igbo"": ""Ọ kèbè m àda yā"", ""english"": ""He betrothed his daughter to me, or He gave me his first daughter in marriage""}], ""dialect_variants"": []}"
"-kpata àkù","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""acquire wealth"", ""amass wealth""], ""examples"": [], ""dialect_variants"": []}"
"ǹdudù","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""electric catfish (Malapterurus electricus) (= èlùlù)""], ""examples"": [], ""dialect_variants"": []}"
"ògàzì","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""guineafowl""], ""examples"": [], ""dialect_variants"": []}"
"-kwụbà","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""jump in""], ""examples"": [], ""dialect_variants"": []}"
"ùba","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""plentifulness; increase"", ""wealth; riches (compare àkù)"", ""male name""], ""examples"": [], ""dialect_variants"": []}"
"ọ nà n’iyì","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""He's no use""], ""examples"": [{""igbo"": ""Afịa ọ jè nà n’iyì"", ""english"": ""The trade he did was a loss""}], ""dialect_variants"": []}"
"ndị","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""nation; people, those (plural of onye)""], ""examples"": [], ""dialect_variants"": []}"
"ịbà ojiī","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""malaria; jaundice without yellow coloration of eyeballs and fingernails""], ""examples"": [], ""dialect_variants"": []}"
"-zu orī","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""steal""], ""examples"": [], ""dialect_variants"": []}"
"o mekwa","PRN","5","{""source"": ""IgboAPI"", ""definitions"": [""afterwards""], ""examples"": [], ""dialect_variants"": []}"
"-tụfìkọ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""be entangled together; entangle""], ""examples"": [], ""dialect_variants"": []}"
"òfufo chī","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""dawn""], ""examples"": [], ""dialect_variants"": []}"
"-mùkwù","ESUF","5","{""source"": ""IgboAPI"", ""definitions"": [""read more (of) Ọ chò ịmùkwù akwụkwọ She wants to study further""], ""examples"": [], ""dialect_variants"": []}"
"òfùfè","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""service; worship; adoration"", ""crossing; passing""], ""examples"": [{""igbo"": ""O fègo"", ""english"": ""He has passed""}, {""igbo"": ""Ogè efègo"", ""english"": ""The time has long passed""}], ""dialect_variants"": []}"
"-kpọchìgha","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""call back; recall""], ""examples"": [], ""dialect_variants"": []}"
"-kwukwàsị","ESUF","5","{""source"": ""IgboAPI"", ""definitions"": [""speak again""], ""examples"": [], ""dialect_variants"": []}"
"R","unknown","5","{""source"": ""IgboAPI"", ""definitions"": [], ""examples"": [], ""dialect_variants"": []}"
"ọdū","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""pestle"", ""elephant tusk""], ""examples"": [], ""dialect_variants"": []}"
"onye ntụkwàsị obì","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""person being trusted""], ""examples"": [], ""dialect_variants"": []}"
"-kpà ji","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""stack yams (in the barn)""], ""examples"": [], ""dialect_variants"": []}"
"-fenaba","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""fly home""], ""examples"": [], ""dialect_variants"": []}"
"-yòchapù","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""sift out""], ""examples"": [], ""dialect_variants"": []}"
"Oche ǹke à dì chìm","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""This chair is very firm""], ""examples"": [], ""dialect_variants"": []}"
"nrìba amā","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""(distinguishing) mark"", ""mark; distinguishing mark""], ""examples"": [], ""dialect_variants"": []}"
"ndọlì","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""tearing into pieces""], ""examples"": [], ""dialect_variants"": []}"
